Pathway	SRR1397196	SRR1397407	SRR1397265	SRR1397339
Regulation of lipolysis in adipocytes [PATH:ko04923]	0.0	0.0	10.0	0.0
Renal cell carcinoma [PATH:ko05211]	4229.54	12442.97	5225.92	26220.630000000005
Renin secretion [PATH:ko04924]	315.0	544.0	762.0	1209.5
Renin-angiotensin system [PATH:ko04614]	1721.0	4782.5	2641.5	9657.0
Replication and repair	56300.38	152807.1	70690.99	297839.74
Retinol metabolism [PATH:ko00830]	7937.13	17862.85	11353.52	34497.020000000004
Retrograde endocannabinoid signaling [PATH:ko04723]	14.5	39.33	20.5	258.5
Riboflavin metabolism [PATH:ko00740]	33686.67	87619.59	39182.17	157883.37000000002
Ribosome [BR:ko03011]	270207.16	740747.5199999999	293543.5	1708317.2200000002
Ribosome [PATH:ko03010]	270201.16	740735.0199999999	293499.0	1708297.7200000002
Ribosome biogenesis [BR:ko03009]	243161.06999999998	643272.95	277992.15	1376930.81
Ribosome biogenesis in eukaryotes [PATH:ko03008]	8597.019999999999	22465.92	9395.02	44322.31
Salivary secretion [PATH:ko04970]	267.6	1728.67	393.81	1641.43
Salmonella infection [PATH:ko05132]	30989.02	90836.15	36767.28999999999	166541.03000000003
Secondary bile acid biosynthesis [PATH:ko00121]	6385.0	20458.95	8427.32	39757.61
Secondary metabolism	2364.77	4630.540000000001	3480.2200000000003	11487.880000000001
Secretion system [BR:ko02044]	264764.81	694292.62	336697.58	1287383.73
Selenocompound metabolism [PATH:ko00450]	45041.82	132169.22999999998	55187.939999999995	270222.83999999997
Serotonergic synapse [PATH:ko04726]	617.6700000000001	4334.67	1864.37	4643.34
Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]	151.5	31.0	261.6	360.0
Shigellosis [PATH:ko05131]	11567.07	34087.39	15786.539999999999	55050.8
Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	5.0	263.5	16.5	45.0
Signaling proteins	31378.07	85115.14	37371.48	140219.8
Small cell lung cancer [PATH:ko05222]	5487.76	15206.2	8153.0	27668.53
Sphingolipid metabolism [PATH:ko00600]	3550.3	39366.18	7308.049999999999	47020.33
Sphingolipid signaling pathway [PATH:ko04071]	111.0	229.0	98.0	429.0
Spinocerebellar ataxia [PATH:ko05017]	5497.76	15558.2	8157.0	28288.53
Spliceosome [BR:ko03041]	0.0	0.0	21.0	0.0
Spliceosome [PATH:ko03040]	0.0	0.0	21.0	0.0
Staphylococcus aureus infection [PATH:ko05150]	983.0	2527.0	1765.27	6386.84
Starch and sucrose metabolism [PATH:ko00500]	60740.73	200987.59	74752.45	420609.64
Staurosporine biosynthesis [PATH:ko00404]	958.5	987.5	2016.0	2296.0
Steroid biosynthesis [PATH:ko00100]	106.5	224.0	113.5	628.0
Steroid degradation [PATH:ko00984]	3122.85	21013.67	3843.0	30653.41
Steroid hormone biosynthesis [PATH:ko00140]	353.0	1811.0	397.0	2691.5
Stilbenoid diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	135.0	1551.0	164.0	2111.0
Streptomycin biosynthesis [PATH:ko00521]	39119.75	116051.88	46598.32	252785.32
Structural proteins	52843.47	140656.72	69279.19	244815.05
Styrene degradation [PATH:ko00643]	15348.84	38943.75	21532.04	71028.38
Sulfur metabolism [PATH:ko00920]	77251.61	225717.68	100692.09	387361.17
Sulfur relay system [PATH:ko04122]	54273.75	140754.02	64551.13	268214.37
Synaptic vesicle cycle [PATH:ko04721]	9.0	31.5	5.5	181.0
Synthesis and degradation of ketone bodies [PATH:ko00072]	26687.55	53427.689999999995	36658.02	131079.44999999998
Systemic lupus erythematosus [PATH:ko05322]	16.0	51.0	81.0	72.0
TNF signaling pathway [PATH:ko04668]	0.0	0.0	10.0	0.0
Taurine and hypotaurine metabolism [PATH:ko00430]	25396.57	60019.71	31864.129999999997	126005.57
Terpenoid backbone biosynthesis [PATH:ko00900]	68256.53	184846.43	77969.07	430969.97000000003
Th17 cell differentiation [PATH:ko04659]	3342.87	11727.47	3402.82	22542.130000000005
Thermogenesis [PATH:ko04714]	25618.42	69646.88	32875.86	133499.72
Thiamine metabolism [PATH:ko00730]	53305.549999999996	142584.78999999998	61673.12	285281.29000000004
Thyroid hormone signaling pathway [PATH:ko04919]	4787.56	13801.34	4513.17	44007.240000000005
Thyroid hormone synthesis [PATH:ko04918]	6958.1900000000005	20054.51	9315.89	34042.32
Tight junction [PATH:ko04530]	0.0	86.0	0.0	111.0
Toluene degradation [PATH:ko00623]	6259.17	29862.35	9505.45	42151.27
Toxoplasmosis [PATH:ko05145]	5487.76	15206.2	8143.0	27668.53
Transcription	23458.89	59300.53	29863.52	108952.84
Transcription factors [BR:ko03000]	220272.64	530654.18	288231.9	995794.19
Transcription machinery [BR:ko03021]	111671.18	318850.12	131528.43	692226.8300000001
Transfer RNA biogenesis [BR:ko03016]	340304.74	914718.83	389796.33	1961326.47
Translation	4296.450000000001	13079.98	6573.24	24674.38
Translation factors [BR:ko03012]	85446.81999999999	239921.59999999998	96435.38	528819.86
Transport	49178.47	148257.81	67465.89	231060.89
Transporters [BR:ko02000]	1318720.6	3080358.29	1693844.4	6514911.75
Tropane piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	16411.18	42909.93	18550.3	83070.58
Tryptophan metabolism [PATH:ko00380]	65360.67	156198.34	90759.94	327876.21
Tuberculosis [PATH:ko05152]	23206.41	62818.759999999995	27337.03	140123.24
Two-component system [BR:ko02022]	140954.21	391919.61	186321.45	722179.58
Two-component system [PATH:ko02020]	377364.96	982278.33	476657.5	1756678.3800000001
Type I diabetes mellitus [PATH:ko04940]	6180.25	16095.89	7112.07	36644.630000000005
Type II diabetes mellitus [PATH:ko04930]	5409.16	18284.579999999998	6018.87	36336.23
Tyrosine metabolism [PATH:ko00350]	50570.11	121405.87000000001	67838.94	219209.68
Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	44973.4	133002.81	59023.43	219281.49000000002
Ubiquitin mediated proteolysis [PATH:ko04120]	0.0	160.0	0.0	206.0
Ubiquitin system [BR:ko04121]	3575.04	8072.13	3882.3	16638.79
Unclassified viral proteins	10839.63	32741.509999999995	11903.04	69801.07
VEGF signaling pathway [PATH:ko04370]	0.0	0.0	10.0	0.0
Valine leucine and isoleucine biosynthesis [PATH:ko00290]	73493.56999999999	185362.59	88114.88	355359.07
Valine leucine and isoleucine degradation [PATH:ko00280]	117283.67	266589.61	157025.75	585651.78
Vancomycin resistance [PATH:ko01502]	28500.76	76885.18999999999	31544.95	175210.35
Various types of N-glycan biosynthesis [PATH:ko00513]	1264.67	12971.67	3024.25	10759.75
Vasopressin-regulated water reabsorption [PATH:ko04962]	9.0	31.5	5.5	210.0
Vibrio cholerae infection [PATH:ko05110]	0.0	92.0	0.0	106.0
Viral carcinogenesis [PATH:ko05203]	5361.16	16356.079999999998	5915.37	35984.73
Viral myocarditis [PATH:ko05416]	5487.76	15206.2	8143.0	27668.53
Viral proteins [BR:ko03200]	58.0	120.0	54.0	292.0
Vitamin B6 metabolism [PATH:ko00750]	27193.66	74926.09	32787.88	164062.78
Xylene degradation [PATH:ko00622]	8175.35	55687.24	12023.99	69493.86
Yersinia infection [PATH:ko05135]	2.0	13.5	18.5	120.0
Zeatin biosynthesis [PATH:ko00908]	5158.639999999999	17139.17	5759.02	36585.33
alpha-Linolenic acid metabolism [PATH:ko00592]	5390.49	12827.36	6825.42	21204.079999999998
beta-Alanine metabolism [PATH:ko00410]	42013.86	96370.18000000001	52604.41	194017.0
beta-Lactam resistance [PATH:ko01501]	59000.43	143472.71	74689.58	299404.44
cAMP signaling pathway [PATH:ko04024]	204.0	575.67	203.0	924.66
cGMP-PKG signaling pathway [PATH:ko04022]	2.0	70.67	1.0	129.66
mRNA surveillance pathway [PATH:ko03015]	0.0	160.0	0.0	235.0
mTOR signaling pathway [PATH:ko04150]	0.0	80.0	0.0	103.0
p53 signaling pathway [PATH:ko04115]	5487.76	15206.2	8143.0	27668.53
